frame,track_id,bbox_x,bbox_y,bbox_w,bbox_h,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
20,0,434.95,476.06,25.06,45.77
20,1,460.47,487.61,27.22,66.05
20,2,17.11,606.76,133.19,200.47,75.06,647.0,0.519,75.81,641.0,0.099,68.62,642.0,0.594,71.0,641.0,0.043,51.38,645.0,0.782,73.31,662.0,0.887,40.34,675.0,0.985,92.69,687.0,0.486,47.72,716.0,0.981,105.5,701.0,0.467,82.38,722.0,0.953,75.06,723.0,0.965,53.59,732.0,0.987,110.38,731.0,0.899,96.88,741.0,0.972,128.5,781.0,0.802,120.0,789.0,0.916
20,3,65.37,412.02,181.04,511.74,177.62,465.5,0.04,173.12,458.0,0.014,176.88,456.0,0.043,133.5,462.5,0.678,175.0,462.0,0.874,98.94,510.0,0.987,184.38,515.5,0.998,79.56,592.0,0.527,202.62,603.0,0.973,106.0,616.0,0.113,189.75,609.0,0.647,111.62,658.0,0.998,168.25,662.0,0.999,161.62,755.0,0.991,208.5,754.0,0.998,176.62,862.0,0.974,190.62,859.0,0.99
20,4,347.15,449.73,135.86,361.2,411.0,484.0,0.017,409.25,478.0,0.005,412.0,476.5,0.012,391.0,484.0,0.725,425.0,481.0,0.885,374.0,528.5,0.999,445.25,522.5,1.0,358.5,580.5,0.98,461.5,584.5,0.999,382.25,606.0,0.836,473.0,629.0,0.98,391.75,635.0,1.0,439.25,630.0,1.0,411.0,712.0,0.999,449.0,690.0,1.0,420.75,778.0,0.992,458.75,742.0,0.995
21,0,434.98,475.78,25.16,47.29
21,1,460.54,487.78,25.59,66.38
21,2,17.35,607.42,133.51,199.26,77.12,639.0,0.427,76.81,634.0,0.069,70.69,635.0,0.503,70.38,638.0,0.035,53.44,641.0,0.753,73.75,663.0,0.845,40.66,673.0,0.983,91.12,692.0,0.375,47.59,715.0,0.978,102.25,706.0,0.349,82.88,721.0,0.938,75.44,724.0,0.945,53.69,732.0,0.982,110.5,728.0,0.845,96.88,738.0,0.96,127.0,782.0,0.718,118.75,791.0,0.881
21,3,69.57,411.68,181.76,493.88,182.62,465.5,0.039,178.38,457.5,0.012,181.75,456.0,0.044,138.25,461.0,0.617,178.62,460.0,0.882,103.62,507.5,0.985,186.25,511.0,0.998,86.62,588.0,0.455,203.75,596.0,0.969,114.0,606.0,0.088,192.0,597.5,0.605,117.38,656.0,0.998,173.12,658.0,1.0,165.38,752.0,0.994,216.5,748.0,0.999,178.38,862.0,0.983,196.5,852.0,0.994
21,4,350.07,452.22,134.43,358.63,415.0,485.5,0.017,413.0,480.5,0.005,415.75,479.0,0.012,393.75,485.5,0.71,427.75,483.0,0.89,376.5,528.0,1.0,447.0,523.0,1.0,362.75,579.5,0.988,464.0,583.5,0.999,384.5,609.0,0.89,474.25,627.0,0.982,394.75,632.0,1.0,442.25,628.0,1.0,411.25,709.0,1.0,450.25,689.0,1.0,419.0,780.0,0.993,456.25,746.0,0.995
